city,country,dst_warsaw_km,co2_kg,percentile,percent_total_co2_kg,cum_co2_kg,percent_cum_total_co2_kg,model_set
Budapest, Hungary,1089.672,270.498,0.19909502262443438,0.0012632533535958488,1922.2220000000002,0.00897697353716375,Pessimistic
Budapest, Hungary,1089.672,270.498,0.20361990950226244,0.0012632533535958488,2192.7200000000003,0.0102402268907596,Pessimistic
Magdeburg, Germany,1276.562,306.192,0.2081447963800905,0.0014299479879489687,2498.9120000000003,0.011670174878708568,Pessimistic
Amsterdam, Germany,1279.365,306.727,0.21266968325791855,0.0014324464927222896,2805.639,0.013102621371430857,Pessimistic
Passau, Germany,1342.54,318.793,0.2171945701357466,0.001488795948039843,3124.4320000000002,0.0145914173194707,Pessimistic
Hamburg, Germany,1503.946,349.62,0.22171945701357465,0.001632761194109312,3474.052,0.01622417851358001,Pessimistic
Hamburg, Germany,1503.946,349.62,0.22624434389140272,0.001632761194109312,3823.672,0.017856939707689323,Pessimistic
Erlangen, Germany,1518.323,352.366,0.23076923076923078,0.0016455852952448997,4176.0380000000005,0.019502525002934226,Pessimistic
Linköping, Sweden,1532.287,355.033,0.23529411764705882,0.0016580404582924643,4531.071000000001,0.02116056546122669,Pessimistic
Hot Little India, Sweden,1623.216,372.399,0.2398190045248869,0.0017391414562242253,4903.470000000001,0.022899706917450916,Pessimistic
Dr. med. Dorette Poland, Germany,1626.822,373.088,0.24434389140271492,0.0017423591567640724,5276.558000000001,0.02464206607421499,Pessimistic
Flensburg, Germany,1630.115,373.717,0.248868778280543,0.001745296651161117,5650.275000000001,0.026387362725376104,Pessimistic
Kista, Sweden,1639.653,375.538,0.25339366515837103,0.0017538009075951685,6025.813,0.02814116363297127,Pessimistic
Gilching, Germany,1657.161,378.882,0.2579185520361991,0.0017694177299540197,6404.695,0.02991058136292529,Pessimistic
Innsbruck, Austria,1766.245,399.716,0.26244343891402716,0.0018667146429397568,6804.411,0.03177729600586505,Pessimistic
Darmstadt, Germany,1802.5966,406.6592,0.2669683257918552,0.001899140097784845,7211.0702,0.03367643610364989,Pessimistic
Darmstadt, Germany,1802.5966,406.6592,0.27149321266968324,0.001899140097784845,7617.7294,0.035575576201434735,Pessimistic
Darmstadt, Germany,1802.5966,406.6592,0.27601809954751133,0.001899140097784845,8024.3886,0.037474716299219585,Pessimistic
Darmstadt, Germany,1802.5966,406.6592,0.28054298642533937,0.001899140097784845,8431.0478,0.03937385639700443,Pessimistic
Darmstadt, Germany,1802.5966,406.6592,0.2850678733031674,0.001899140097784845,8837.707,0.04127299649478927,Pessimistic
Mainz, Germany,1842.405,414.262,0.2895927601809955,0.0019346459521598072,9251.969000000001,0.043207642446949086,Pessimistic
Karlstad, Sweden,1843.311,414.435,0.29411764705882354,0.001935453879871554,9666.404,0.045143096326820634,Pessimistic
Dortmund, Germany,1863.402,418.272,0.2986425339366516,0.0019533730627037645,10084.676000000001,0.0470964693895244,Pessimistic
Hagen, Germany,1868.772,419.298,0.3031674208144796,0.0019581645877456847,10503.974000000002,0.04905463397727009,Pessimistic
Bochum, Germany,1898.148,424.908,0.3076923076923077,0.0019843638620977047,10928.882000000001,0.05103899783936779,Pessimistic
Karlsruhe, Germany,1914.332,427.286,0.31221719457013575,0.001995469365557438,11356.168000000001,0.05303446720492523,Pessimistic
Karlsruhe, Germany,1914.332,427.286,0.3167420814479638,0.001995469365557438,11783.454000000002,0.05502993657048267,Pessimistic
Karlsruhe, Germany,1914.332,427.286,0.3212669683257919,0.001995469365557438,12210.740000000002,0.05702540593604011,Pessimistic
Grenoble, Germany,1946.368,431.016,0.3257918552036199,0.0020128888474349846,12641.756000000001,0.05903829478347509,Pessimistic
Reykjavikstraße, Germany,1953.415,431.837,0.33031674208144796,0.0020167230014889966,13073.593,0.06105501778496408,Pessimistic
Jülich, Germany,2041.37575,442.079,0.334841628959276,0.002064554190065358,13515.672,0.06311957197502945,Pessimistic
Jülich, Germany,2041.37575,442.079,0.3393665158371041,0.002064554190065358,13957.751,0.0651841261650948,Pessimistic
Jülich, Germany,2041.37575,442.079,0.3438914027149321,0.002064554190065358,14399.83,0.06724868035516016,Pessimistic
Jülich, Germany,2041.37575,442.079,0.34841628959276016,0.002064554190065358,14841.909,0.06931323454522552,Pessimistic
Nijmegen, Netherlands,2069.476,445.351,0.35294117647058826,0.0020798347650528466,15287.26,0.07139306931027836,Pessimistic
Zurich, Switzerland,2085.9125,447.265,0.3574660633484163,0.0020887733410082415,15734.525,0.0734818426512866,Pessimistic
Zurich, Switzerland,2085.9125,447.265,0.36199095022624433,0.0020887733410082415,16181.789999999999,0.07557061599229484,Pessimistic
Aachen, Germany,2087.1033333333335,447.40366666666665,0.3665158371040724,0.0020894209285382734,16629.193666666666,0.07766003692083312,Pessimistic
Aachen, Germany,2087.1033333333335,447.40366666666665,0.37104072398190047,0.0020894209285382734,17076.59733333333,0.07974945784937139,Pessimistic
Aachen, Germany,2087.1033333333335,447.40366666666665,0.3755656108597285,0.0020894209285382734,17524.000999999997,0.08183887877790964,Pessimistic
Eindhoven, Netherlands,2136.997,453.213,0.38009049773755654,0.002116551109964715,17977.213999999996,0.08395542988787437,Pessimistic
Barcelona, Italy,2168.798,456.916,0.38461538461538464,0.002133844499078,18434.129999999997,0.08608927438695237,Pessimistic
Milan, Italy,2287.04,470.684,0.3891402714932127,0.00219814246864638,18904.814,0.08828741685559875,Pessimistic
Camerino, Italy,2343.024,477.203,0.3936651583710407,0.0022285868660618558,19382.017,0.09051600372166062,Pessimistic
Turin, Italy,2517.2906666666668,497.4945,0.39819004524886875,0.0023233502485064217,19879.5115,0.09283935397016704,Pessimistic
Turin, Italy,2517.2906666666668,497.4945,0.40271493212669685,0.0023233502485064217,20377.006,0.09516270421867347,Pessimistic
Turin, Italy,2517.2906666666668,497.4945,0.4072398190045249,0.0023233502485064217,20874.500500000002,0.0974860544671799,Pessimistic
Turin, Italy,2517.2906666666668,497.4945,0.4117647058823529,0.0023233502485064217,21371.995000000003,0.09980940471568632,Pessimistic
Turin, Italy,2517.2906666666668,497.4945,0.416289592760181,0.0023233502485064217,21869.489500000003,0.10213275496419275,Pessimistic
Turin, Italy,2517.2906666666668,497.4945,0.42081447963800905,0.0023233502485064217,22366.984000000004,0.10445610521269916,Pessimistic
Grenoble, France,2725.5456666666664,522.2166666666667,0.4253393665158371,0.002438805297896148,22889.20066666667,0.10689491051059531,Pessimistic
Grenoble, France,2725.5456666666664,522.2166666666667,0.4298642533936652,0.002438805297896148,23411.41733333334,0.10933371580849147,Pessimistic
Grenoble, France,2725.5456666666664,522.2166666666667,0.4343891402714932,0.002438805297896148,23933.634000000005,0.11177252110638762,Pessimistic
Paris, France,2732.532,523.097,0.43891402714932126,0.0024429165446913756,24456.731000000007,0.114215437651079,Pessimistic
Naples, Italy,2734.2146666666667,523.3093333333334,0.4434389140271493,0.0024439081630967373,24980.04033333334,0.11665934581417574,Pessimistic
Naples, Italy,2734.2146666666667,523.3093333333334,0.4479638009049774,0.0024439081630967373,25503.349666666676,0.11910325397727248,Pessimistic
Naples, Italy,2734.2146666666667,523.3093333333334,0.45248868778280543,0.0024439081630967373,26026.65900000001,0.12154716214036923,Pessimistic
Lyon, France,2755.495,525.991,0.45701357466063347,0.002456431820979209,26552.65000000001,0.12400359396134843,Pessimistic
Lyon, France,2755.495,525.991,0.46153846153846156,0.002456431820979209,27078.64100000001,0.12646002578232765,Pessimistic
Istanbul, Turkey,2772.0865,528.082,0.4660633484162896,0.0024661970050558714,27606.72300000001,0.1289262227873835,Pessimistic
Istanbul, Turkey,2772.0865,528.082,0.47058823529411764,0.0024661970050558714,28134.805000000008,0.13139241979243937,Pessimistic
Gif-sur-Yvette, France,2775.3365,528.492,0.4751131221719457,0.002468111747031687,28663.297000000006,0.13386053153947106,Pessimistic
Gif-sur-Yvette, France,2775.3365,528.492,0.4796380090497738,0.002468111747031687,29191.789000000004,0.13632864328650274,Pessimistic
Trondheim, Norway,2781.117,529.22,0.4841628959276018,0.002471511581564356,29721.009000000005,0.1388001548680671,Pessimistic
London, United Kingdom,2896.227,545.67,0.48868778280542985,0.0025483347657160008,30266.679000000004,0.14134848963378308,Pessimistic
Catanzaro, Italy,3062.931,574.964,0.49321266968325794,0.00268514074483687,30841.643000000004,0.14403363037861996,Pessimistic
Zurich, United Kingdom,3103.572,582.106,0.497737556561086,0.0027184946160351098,31423.749000000003,0.14675212499465506,Pessimistic
Manchester, United Kingdom,3120.658,585.108,0.502262443438914,0.0027325142633799876,32008.857000000004,0.14948463925803504,Pessimistic
Bristol, United Kingdom,3233.36,604.913,0.5067873303167421,0.0028250056410166645,32613.770000000004,0.15230964489905172,Pessimistic
Ankara, Turkey,3282.647,613.574,0.5113122171945701,0.002865453397730184,33227.344000000005,0.15517509829678192,Pessimistic
Stirling, United Kingdom,3339.359,623.54,0.5158371040723982,0.002911995638049655,33850.884000000005,0.15808709393483156,Pessimistic
Rennes, France,3343.2883333333334,624.2303333333333,0.5203619909502263,0.002915219565392675,34475.11433333334,0.16100231350022423,Pessimistic
Rennes, France,3343.2883333333334,624.2303333333333,0.5248868778280543,0.002915219565392675,35099.34466666667,0.1639175330656169,Pessimistic
Rennes, France,3343.2883333333334,624.2303333333333,0.5294117647058824,0.002915219565392675,35723.575000000004,0.16683275263100958,Pessimistic
Glasgow, United Kingdom,3374.324,629.684,0.5339366515837104,0.002940688747072616,36353.259000000005,0.1697734413780822,Pessimistic
Bordeaux, France,3559.596,662.2415,0.5384615384615384,0.0030927356053107426,37015.5005,0.17286617698339293,Pessimistic
Bordeaux, France,3559.596,662.2415,0.5429864253393665,0.0030927356053107426,37677.742,0.17595891258870366,Pessimistic
Talence, France,3564.772,663.151,0.5475113122171946,0.0030969830634253884,38340.893,0.17905589565212904,Pessimistic
Talence, France,3564.772,663.151,0.5520361990950227,0.0030969830634253884,39004.043999999994,0.1821528787155544,Pessimistic
Gujan-Mestras, France,3651.286,678.354,0.5565610859728507,0.003167982629909125,39682.397999999994,0.18532086134546355,Pessimistic
Dublin, Ireland,3653.022,678.659,0.5610859728506787,0.003169407011135037,40361.05699999999,0.18849026835659857,Pessimistic
Orsay, United Kingdom,3656.003,679.183,0.5656108597285068,0.003171854144782177,41040.23999999999,0.19166212250138073,Pessimistic
Barcelona, Spain,3726.68975,691.60425,0.5701357466063348,0.0032298626539702395,41731.84424999999,0.19489198515535097,Pessimistic
Barcelona, Spain,3726.68975,691.60425,0.5746606334841629,0.0032298626539702395,42423.448499999984,0.19812184780932118,Pessimistic
Barcelona, Spain,3726.68975,691.60425,0.579185520361991,0.0032298626539702395,43115.05274999998,0.20135171046329142,Pessimistic
Barcelona, Spain,3726.68975,691.60425,0.583710407239819,0.0032298626539702395,43806.65699999998,0.20458157311726163,Pessimistic
Heraklion, Greece,3813.019,706.7745,0.5882352941176471,0.0033007092746010296,44513.43149999998,0.20788228239186266,Pessimistic
Heraklion, Greece,3813.019,706.7745,0.5927601809954751,0.0033007092746010296,45220.20599999998,0.2111829916664637,Pessimistic
Heraklion, Greece,3813.019,706.7745,0.5972850678733032,0.0033007092746010296,45926.980499999976,0.21448370094106473,Pessimistic
Heraklion, Greece,3813.019,706.7745,0.6018099547511312,0.0033007092746010296,46633.754999999976,0.21778441021566575,Pessimistic
Lleida, Spain,3870.557,716.886,0.6063348416289592,0.003347931014816796,47350.640999999974,0.22113234123048253,Pessimistic
Santander, Spain,4156.838,767.193,0.6108597285067874,0.003582869855249429,48117.83399999997,0.22471521108573195,Pessimistic
Valencia, Spain,4332.492,798.06,0.6153846153846154,0.0037270219054140992,48915.89399999997,0.22844223299114605,Pessimistic
Santiago, Spain,4852.307,889.987,0.6199095022624435,0.004156330406903965,49805.88099999997,0.23259856339805002,Pessimistic
Santiago de Compostela, Spain,4853.704,890.235,0.6244343891402715,0.0041574885922942145,50696.11599999997,0.23675605199034425,Pessimistic
Tel Aviv-Yafo, Israel,5003.465,916.8735,0.6289592760180995,0.004281893114544889,51612.989499999974,0.24103794510488913,Pessimistic
Tel Aviv-Yafo, Israel,5003.465,916.8735,0.6334841628959276,0.004281893114544889,52529.862999999976,0.24531983821943404,Pessimistic
Porto, Portugal,5095.6995,933.279,0.6380090497737556,0.004358508479140623,53463.14199999998,0.24967834669857467,Pessimistic
Porto, Portugal,5095.6995,933.279,0.6425339366515838,0.004358508479140623,54396.42099999998,0.2540368551777153,Pessimistic
Saudi Arabia Street, Egypt,5226.094,956.473,0.6470588235294118,0.0044668268337432525,55352.89399999998,0.2585036820114585,Pessimistic
Lisbon, Portugal,5519.422,1008.6469999999999,0.6515837104072398,0.004710484755319418,56361.540999999976,0.26321416676677795,Pessimistic
Lisbon, Portugal,5519.422,1008.6469999999999,0.6561085972850679,0.004710484755319418,57370.18799999997,0.2679246515220974,Pessimistic
Lisbon, Portugal,5519.422,1008.6469999999999,0.6606334841628959,0.004710484755319418,58378.83499999997,0.27263513627741676,Pessimistic
São Paulo, Portugal,5520.876,1008.906,0.665158371040724,0.004711694311835849,59387.74099999997,0.27734683058925264,Pessimistic
Caparica, Portugal,5536.803,1011.738,0.669683257918552,0.00472492004177612,60399.47899999997,0.28207175063102874,Pessimistic
Reykjavik, Iceland,5542.7939166666665,1012.8040833333333,0.6742081447963801,0.00472989876008844,61412.28308333331,0.2868016493911172,Pessimistic
Reykjavik, Iceland,5542.7939166666665,1012.8040833333333,0.6787330316742082,0.00472989876008844,62425.08716666664,0.29153154815120563,Pessimistic
Reykjavik, Iceland,5542.7939166666665,1012.8040833333333,0.6832579185520362,0.00472989876008844,63437.89124999998,0.2962614469112941,Pessimistic
Reykjavik, Iceland,5542.7939166666665,1012.8040833333333,0.6877828054298643,0.00472989876008844,64450.695333333315,0.3009913456713825,Pessimistic
Reykjavik, Iceland,5542.7939166666665,1012.8040833333333,0.6923076923076923,0.00472989876008844,65463.49941666665,0.305721244431471,Pessimistic
Reykjavik, Iceland,5542.7939166666665,1012.8040833333333,0.6968325791855203,0.00472989876008844,66476.30349999998,0.3104511431915594,Pessimistic
Reykjavik, Iceland,5542.7939166666665,1012.8040833333333,0.7013574660633484,0.00472989876008844,67489.10758333332,0.31518104195164787,Pessimistic
Reykjavik, Iceland,5542.7939166666665,1012.8040833333333,0.7058823529411765,0.00472989876008844,68501.91166666665,0.3199109407117363,Pessimistic
Reykjavik, Iceland,5542.7939166666665,1012.8040833333333,0.7104072398190046,0.00472989876008844,69514.71574999999,0.32464083947182476,Pessimistic
Reykjavik, Iceland,5542.7939166666665,1012.8040833333333,0.7149321266968326,0.00472989876008844,70527.51983333332,0.3293707382319132,Pessimistic
Reykjavik, Iceland,5542.7939166666665,1012.8040833333333,0.7194570135746606,0.00472989876008844,71540.32391666666,0.33410063699200165,Pessimistic
Reykjavik, Iceland,5542.7939166666665,1012.8040833333333,0.7239819004524887,0.00472989876008844,72553.128,0.33883053575209016,Pessimistic
Reykjavik, Iceland,5542.7939166666665,1012.8040833333333,0.7285067873303167,0.00472989876008844,73565.93208333333,0.3435604345121786,Pessimistic
Reykjavik, Iceland,5542.7939166666665,1012.8040833333333,0.7330316742081447,0.00472989876008844,74578.73616666667,0.34829033327226705,Pessimistic
Reykjavik, Iceland,5542.7939166666665,1012.8040833333333,0.7375565610859729,0.00472989876008844,75591.54025,0.3530202320323555,Pessimistic
Reykjavik, Iceland,5542.7939166666665,1012.8040833333333,0.7420814479638009,0.00472989876008844,76604.34433333334,0.35775013079244394,Pessimistic
Reykjavik, Iceland,5542.7939166666665,1012.8040833333333,0.746606334841629,0.00472989876008844,77617.14841666668,0.3624800295525324,Pessimistic
Reykjavik, Iceland,5542.7939166666665,1012.8040833333333,0.751131221719457,0.00472989876008844,78629.95250000001,0.36720992831262084,Pessimistic
Reykjavik, Iceland,5542.7939166666665,1012.8040833333333,0.755656108597285,0.00472989876008844,79642.75658333335,0.3719398270727093,Pessimistic
Reykjavik, Iceland,5542.7939166666665,1012.8040833333333,0.7601809954751131,0.00472989876008844,80655.56066666669,0.3766697258327978,Pessimistic
Reykjavik, Iceland,5542.7939166666665,1012.8040833333333,0.7647058823529411,0.00472989876008844,81668.36475000002,0.38139962459288623,Pessimistic
Reykjavik, Iceland,5542.7939166666665,1012.8040833333333,0.7692307692307693,0.00472989876008844,82681.16883333336,0.3861295233529747,Pessimistic
Reykjavik, Iceland,5542.7939166666665,1012.8040833333333,0.7737556561085973,0.00472989876008844,83693.9729166667,0.3908594221130631,Pessimistic
Reykjavik, Iceland,5542.7939166666665,1012.8040833333333,0.7782805429864253,0.00472989876008844,84706.77700000003,0.3955893208731516,Pessimistic
Thuwal, Saudi Arabia,7393.6485,1246.059,0.7828054298642534,0.0058192231015692895,85952.83600000002,0.4014085439747208,Pessimistic
Thuwal, Saudi Arabia,7393.6485,1246.059,0.7873303167420814,0.0058192231015692895,87198.89500000002,0.4072277670762901,Pessimistic
Thuwal, Saudi Arabia,7393.6485,1246.059,0.7918552036199095,0.0058192231015692895,88444.95400000001,0.41304699017785934,Pessimistic
Thuwal, Saudi Arabia,7393.6485,1246.059,0.7963800904977375,0.0058192231015692895,89691.013,0.41886621327942863,Pessimistic
Sangareddy, India,12416.787,2037.174,0.8009049773755657,0.009513811145954017,91728.187,0.42838002442538264,Pessimistic
Boston, United States,13101.937,2147.717,0.8054298642533937,0.010030058273350692,93875.90400000001,0.4384100826987333,Pessimistic
Cambridge, United States,13105.184,2148.241,0.8099547511312217,0.010032505406997834,96024.145,0.4484425881057312,Pessimistic
Bengaluru, India,13251.794,2171.895,0.8144796380090498,0.01014297200869528,98196.04000000001,0.45858556011442647,Pessimistic
Beijing, United States,13696.5545,2243.654,0.8190045248868778,0.010478093885384515,100439.694,0.4690636539998109,Pessimistic
Beijing, United States,13696.5545,2243.654,0.8235294117647058,0.010478093885384515,102683.348,0.47954174788519544,Pessimistic
Toronto, Canada,13841.8,2267.088,0.8280542986425339,0.010587533064558355,104950.436,0.49012928094975383,Pessimistic
Waterloo, Canada,13996.853,2292.1045,0.832579185520362,0.010704362680748605,107242.5405,0.5008336436305024,Pessimistic
Waterloo, Canada,13996.853,2292.1045,0.8371040723981901,0.010704362680748605,109534.645,0.511538006311251,Pessimistic
Washington, United States,14356.302,2350.099,0.8416289592760181,0.01097520293322779,111884.744,0.5225132092444789,Pessimistic
Bloomington, United States,15375.175,2514.486,0.8461538461538461,0.011742907053175296,114399.23000000001,0.5342561162976541,Pessimistic
Blue Ridge Road, United States,15388.832,2516.689,0.8506787330316742,0.011753195288718522,116915.91900000001,0.5460093115863727,Pessimistic
Changsha, China,15395.246,2517.724,0.8552036199095022,0.011758028844681865,119433.64300000001,0.5577673404310546,Pessimistic
Seoul, South Korea,15481.076,2531.572,0.8597285067873304,0.011822700422440649,121965.21500000001,0.5695900408534952,Pessimistic
Suwon-si, South Korea,15539.1915,2540.9485,0.8642533936651584,0.011866489637407085,124506.16350000001,0.5814565304909023,Pessimistic
Suwon-si, South Korea,15539.1915,2540.9485,0.8687782805429864,0.011866489637407085,127047.11200000001,0.5933230201283093,Pessimistic
Suwon-si, South Korea,15539.1915,2540.9485,0.8733031674208145,0.011866489637407085,129588.0605,0.6051895097657164,Pessimistic
Suwon-si, South Korea,15539.1915,2540.9485,0.8778280542986425,0.011866489637407085,132129.00900000002,0.6170559994031236,Pessimistic
Oak Ridge, United States,15672.864,2562.5155,0.8823529411764706,0.011967209735437391,134691.52450000003,0.629023209138561,Pessimistic
Oak Ridge, United States,15672.864,2562.5155,0.8868778280542986,0.011967209735437391,137254.04000000004,0.6409904188739984,Pessimistic
Cookeville, United States,15784.3965,2580.5105,0.8914027149321267,0.012051248227766195,139834.55050000004,0.6530416671017646,Pessimistic
Cookeville, United States,15784.3965,2580.5105,0.8959276018099548,0.012051248227766195,142415.06100000005,0.6650929153295309,Pessimistic
Murfreesboro, United States,15938.97,2605.449,0.9004524886877828,0.012167713575970806,145020.51000000004,0.6772606289055016,Pessimistic
Atlanta, United States,16079.847,2628.179,0.9049773755656109,0.012273865003069097,147648.68900000004,0.6895344939085708,Pessimistic
Atlanta, United States,16079.847,2628.179,0.9095022624434389,0.012273865003069097,150276.86800000005,0.7018083589116398,Pessimistic
Nomi, Japan,16701.512,2728.479,0.9140271493212669,0.012742276271787029,153005.34700000004,0.7145506351834269,Pessimistic
City and County of Denver, United States,17076.422,2788.968,0.918552036199095,0.013024766094653221,155794.31500000003,0.7275754012780801,Pessimistic
Tokyo, Japan,17165.343,2803.315,0.9230769230769231,0.013091768053499646,158597.63000000003,0.7406671693315797,Pessimistic
Livermore, United States,18773.949,3062.85,0.9276018099547512,0.014303823074703124,161660.48000000004,0.7549709924062828,Pessimistic
Singapore,Singapore,18798.605,3066.828,0.9321266968325792,0.01432240074197092,164727.30800000005,0.7692933931482538,Pessimistic
Cumi Bali Indonesia Restaurant, Singapore,18815.687,3069.584,0.9366515837104072,0.014335271544130307,167796.89200000005,0.7836286646923841,Pessimistic
Los Angeles, United States,19272.5865,3143.3015,0.9411764705882353,0.014679539816330849,170940.19350000005,0.798308204508715,Pessimistic
Los Angeles, United States,19272.5865,3143.3015,0.9457013574660633,0.014679539816330849,174083.49500000005,0.8129877443250458,Pessimistic
Marina del Rey, United States,19303.247,3148.248,0.9502262443438914,0.014702640477753713,177231.74300000005,0.8276903848027996,Pessimistic
Cartago, Costa Rica,20270.1,3304.242,0.9547511312217195,0.015431148428425552,180535.98500000004,0.8431215332312251,Pessimistic
San José, Costa Rica,20278.4845,3305.595,0.9592760180995475,0.015437467076945743,183841.58000000005,0.8585590003081708,Pessimistic
San José, Costa Rica,20278.4845,3305.595,0.9638009049773756,0.015437467076945743,187147.17500000005,0.8739964673851166,Pessimistic
Campinas, Brazil,21252.35,3462.72,0.9683257918552036,0.016171256913409406,190609.89500000005,0.890167724298526,Pessimistic
São Paulo, Brazil,21320.411,3473.701,0.9728506787330317,0.016222539307644616,194083.59600000005,0.9063902636061706,Pessimistic
Santo André, Brazil,21328.188,3474.956,0.9773755656108597,0.016228400286131567,197558.55200000005,0.9226186638923022,Pessimistic
Porto Alegre, Brazil,23022.979,3748.397,0.9819004524886877,0.01750539775103187,201306.94900000005,0.9401240616433341,Pessimistic
Santa Maria, Brazil,23262.515,3787.044,0.9864253393665159,0.017685883197713245,205093.99300000005,0.9578099448410473,Pessimistic
La Plata, Argentina,24657.796,4012.162,0.9909502262443439,0.018737207305302914,209106.15500000006,0.9765471521463502,Pessimistic
Melbourne, Australia,30916.253,5021.913,0.995475113122172,0.023452847853649896,214128.06800000006,1.0000000000000002,Pessimistic
Warsaw, Poland,0.0,0.0,0.0,0.0,0.0,0.0,Optimistic
